Name,Tags,Count,Image,Price,Category
Abhi the Nomad - Marbled,"Rock, HipHop",1,https://lastfm-img2.akamaized.net/i/u/300x300/cc5177e7c50ef232cff1c8e8be7a3b82.png,40,CD Premiums
"Adams, Ryan - Prisoner",Rock,1,,40,CD Premiums
"Adolfo, Antonio - Tema","Latin, Jazz",1,,40,CD Premiums
"Ainsworth, Laura - New Vintage",Jazz,1,,40,CD Premiums
Alberta Cross - Songs Of Patience,Rock,1,https://lastfm-img2.akamaized.net/i/u/300x300/43b8d1e30dd544e3aa9b19775f69fc1b.png,40,CD Premiums
"Ali, Azam - Elysium for the Brave",World,1,https://lastfm-img2.akamaized.net/i/u/300x300/2bb00716d9bc2115eef91efb20701f29.png,40,CD Premiums
All That Remains - The Order Of Things,Metal,1,https://lastfm-img2.akamaized.net/i/u/300x300/97452e1d54534586c5a62c3bc1dab663.png,40,CD Premiums
Banda Magda - Tigre,World,2,https://lastfm-img2.akamaized.net/i/u/300x300/e317cade8c3c521e3df0cbeb33c060e0.png,40,CD Premiums
Alma Afrobeat Ensemble - Life No Get Duplicate,World,1,,40,CD Premiums
"Barnosky, Alan - Old Freight",Folk/CW,1,,40,CD Premiums
"Altan - Widening Gyre, The",Celtic,4,,40,CD Premiums
Chicago Afrobeat Project - What Goes Up (feat. Tony Allen),World,15,,40,CD Premiums
Black Mirrors - Look Into The Black Mirror,Metal,2,https://lastfm-img2.akamaized.net/i/u/300x300/d94e817fd712cfa829f648ca306fe7a0.png,40,CD Premiums
Molly Tigre - Molly Tigre,World,10,,40,CD Premiums
Ancient Wisdom - Deathlike,Metal,1,,40,CD Premiums
"Andrews, Glen David - Redemption",Jazz,2,,40,CD Premiums
Anemone - Baby Only  You & I,Rock,1,,40,CD Premiums
"Answer, The - Solas",Metal,1,,40,CD Premiums
"Arriale Trio, Lynne - GiveUs These Days",Jazz,1,,40,CD Premiums
Armored Dawn - Armored Dawn,Metal,1,,40,CD Premiums
Army Of The Universe - 1999 & the Aftershow,RPM/Industrial,1,https://lastfm-img2.akamaized.net/i/u/300x300/66e88c18aa0ce04f02b8556efd755392.png,40,CD Premiums
"Ars Lyrica, Houston - Domenico Scarlatti's La Dirindina",Classical,1,,40,CD Premiums
Assassins - War of Aggression,Metal,1,https://lastfm-img2.akamaized.net/i/u/300x300/5368888d2bc84ce6cc4eca0bb3fd2642.png,40,CD Premiums
"Atakoglu, Fahir - Live at Umbria Jazz",Jazz,1,,40,CD Premiums
"Atlas & the Mazzeka Ensemble, Natacha - Ana Hina",World,1,,40,CD Premiums
"Au Quartet, Allison - Forest Grove",Jazz,1,,40,CD Premiums
"Aubele, Federico - Amatoria",RPM/Industrial,1,,40,CD Premiums
Sticky Fingers - Your To Keep,Rock,1,,40,CD Premiums
Aurelio - Laru Beya,World,1,https://lastfm-img2.akamaized.net/i/u/300x300/2fb53dadd71549268f16a132c965d73d.png,40,CD Premiums
Balkan Clarinet Summit - Many Languages - One Soul,World,1,https://lastfm-img2.akamaized.net/i/u/300x300/577498c8d58b4de9cdf7f199c4f8d86f.png,40,CD Premiums
