ShowName	slug	
A Different Drum	a-different-drum	a-different-drum|A Different Drum
A Good Companion	a-good-companion	a-good-companion|A Good Companion
Accidental Realism	accidental-realism	accidental-realism|Accidental Realism
Aging Hipster Blues	aging-hipster-blues	aging-hipster-blues|Aging Hipster Blues
Aladdin's Airwaves	aladdins-airwaves	aladdins-airwaves|Aladdin's Airwaves
Astral Trash	astral-trash	astral-trash|Astral Trash
Audio Daydream	audio-daydream	audio-daydream|Audio Daydream
Aware of the Plan	aware-of-the-plan	aware-of-the-plan|Aware of the Plan
Beat Matrix	beat-matrix	beat-matrix|Beat Matrix
Beautiful Dreadnought	beautiful-dreadnought	beautiful-dreadnought|Beautiful Dreadnought
Caribella	caribella	caribella|Caribella
Cat Fight	cat-fight	cat-fight|Cat Fight
Charlie Saber's Rock & Country Casserole	charlie-sabers-rock-country-casserole	charlie-sabers-rock-country-casserole|Charlie Saber's Rock & Country Casserole
Chasing Infinity	chasing-infinity	chasing-infinity|Chasing Infinity
DareWaves	darewaves	darewaves|DareWaves
Dead Airplay Record Club	dead-airplay-record-club	dead-airplay-record-club|Dead Airplay Record Club
Defend Cleveland	defend-cleveland	defend-cleveland|Defend Cleveland
Democracy Now	democracy-now	democracy-now|Democracy Now
Democracy Now	democracy-now	democracy-now|Democracy Now
Democracy Now	democracy-now	democracy-now|Democracy Now
Democracy Now	democracy-now	democracy-now|Democracy Now
Democracy Now	democracy-now	democracy-now|Democracy Now
Digital Horizons	digital-horizons	digital-horizons|Digital Horizons
dirt don't hurt	dirt-dont-hurt	dirt-dont-hurt|dirt don't hurt
"Diversified, Inc."	diversified-inc	"diversified-inc|Diversified, Inc."
Down by the Cuyahoga	down-by-the-cuyahoga	down-by-the-cuyahoga|Down by the Cuyahoga
El Gato Blanco	el-gato-blanco	el-gato-blanco|El Gato Blanco
Electric Feel	electric-feel	electric-feel|Electric Feel
Enter Galactic	enter-galactic	enter-galactic|Enter Galactic
Erie Effusion	erie-effusion	erie-effusion|Erie Effusion
Exploding Plastic Inevitable	exploding-plastic-inevitable	exploding-plastic-inevitable|Exploding Plastic Inevitable
"Fast, Loud, and Terrible"	fast-loud-and-terrible	"fast-loud-and-terrible|Fast, Loud, and Terrible"
Fat Monday	fat-monday	fat-monday|Fat Monday
Gaywaves	gaywaves	gaywaves|Gaywaves
Gearing Up to Get Ill	gearing-up-to-get-ill	gearing-up-to-get-ill|Gearing Up to Get Ill
Guilty Pleasures	guilty-pleasures	guilty-pleasures|Guilty Pleasures
Hear and Now	hear-and-now	hear-and-now|Hear and Now
In the Groove	in-the-groove	in-the-groove|In the Groove
Innominate	innominate	innominate|Innominate
It's About Justice	its-about-justice	its-about-justice|It's About Justice
Ivy's Red Sweater	ivys-red-sweater	ivys-red-sweater|Ivy's Red Sweater
Latin Perspective	latin-perspective	latin-perspective|Latin Perspective
Laying Down Tracks	laying-down-tracks	laying-down-tracks|Laying Down Tracks
Lend Me Your Ear	lend-me-your-ear	lend-me-your-ear|Lend Me Your Ear
Live From Cleveland	live-from-cleveland	live-from-cleveland|Live From Cleveland
Metal Meltdown	metal-meltdown	metal-meltdown|Metal Meltdown
Metal Meltdown Overnight	metal-meltdown-overnight	metal-meltdown-overnight|Metal Meltdown Overnight
Mic Drop	mic-drop	mic-drop|Mic Drop
"Miscellaneous, PA."	miscellaneous-pa	"miscellaneous-pa|Miscellaneous, PA."
Music I'd Play for My Dying Ferret	music-id-play-for-my-dying-ferret	music-id-play-for-my-dying-ferret|Music I'd Play for My Dying Ferret
Neosuburbia	neosuburbia	neosuburbia|Neosuburbia
Night of the Living Dread	night-of-the-living-dread	night-of-the-living-dread|Night of the Living Dread
Night Radio	night-radio	night-radio|Night Radio
Noise Pollution	noise-pollution	noise-pollution|Noise Pollution
Not Your Grandmother's Classical Music	not-your-grandmothers-classical-music	not-your-grandmothers-classical-music|Not Your Grandmother's Classical Music
Off the Wall	off-the-wall	off-the-wall|Off the Wall
Paradise Garage	paradise-garage	paradise-garage|Paradise Garage
Passport	passport	passport|Passport
Percussive Maintenance	percussive-maintenance	percussive-maintenance|Percussive Maintenance
Polka Changed My Life Today	polka-changed-my-life-today	polka-changed-my-life-today|Polka Changed My Life Today
Polyrhythmic	polyrhythmic	polyrhythmic|Polyrhythmic
