ShowName,slug,,template
A Different Drum,a-different-drum,a-different-drum|A Different Drum,show
A Good Companion,a-good-companion,a-good-companion|A Good Companion,show
Accidental Realism,accidental-realism,accidental-realism|Accidental Realism,show
Aging Hipster Blues,aging-hipster-blues,aging-hipster-blues|Aging Hipster Blues,show
Aladdin's Airwaves,aladdins-airwaves,aladdins-airwaves|Aladdin's Airwaves,show
Astral Trash,astral-trash,astral-trash|Astral Trash,show
Audio Daydream,audio-daydream,audio-daydream|Audio Daydream,show
Aware of the Plan,aware-of-the-plan,aware-of-the-plan|Aware of the Plan,show
Beat Matrix,beat-matrix,beat-matrix|Beat Matrix,show
Beautiful Dreadnought,beautiful-dreadnought,beautiful-dreadnought|Beautiful Dreadnought,show
Caribella,caribella,caribella|Caribella,show
Cat Fight,cat-fight,cat-fight|Cat Fight,show
Charlie Saber's Rock & Country Casserole,charlie-sabers-rock-country-casserole,charlie-sabers-rock-country-casserole|Charlie Saber's Rock & Country Casserole,show
Chasing Infinity,chasing-infinity,chasing-infinity|Chasing Infinity,show
DareWaves,darewaves,darewaves|DareWaves,show
Dead Airplay Record Club,dead-airplay-record-club,dead-airplay-record-club|Dead Airplay Record Club,show
Defend Cleveland,defend-cleveland,defend-cleveland|Defend Cleveland,show
Democracy Now,democracy-now,democracy-now|Democracy Now,show
Digital Horizons,digital-horizons,digital-horizons|Digital Horizons,show
dirt don't hurt,dirt-dont-hurt,dirt-dont-hurt|dirt don't hurt,show
"Diversified, Inc.",diversified-inc,"diversified-inc|Diversified, Inc.",show
Down by the Cuyahoga,down-by-the-cuyahoga,down-by-the-cuyahoga|Down by the Cuyahoga,show
El Gato Blanco,el-gato-blanco,el-gato-blanco|El Gato Blanco,show
Electric Feel,electric-feel,electric-feel|Electric Feel,show
Enter Galactic,enter-galactic,enter-galactic|Enter Galactic,show
Erie Effusion,erie-effusion,erie-effusion|Erie Effusion,show
Exploding Plastic Inevitable,exploding-plastic-inevitable,exploding-plastic-inevitable|Exploding Plastic Inevitable,show
"Fast, Loud, and Terrible",fast-loud-and-terrible,"fast-loud-and-terrible|Fast, Loud, and Terrible",show
Fat Monday,fat-monday,fat-monday|Fat Monday,show
Gaywaves,gaywaves,gaywaves|Gaywaves,show
Gearing Up to Get Ill,gearing-up-to-get-ill,gearing-up-to-get-ill|Gearing Up to Get Ill,show
Guilty Pleasures,guilty-pleasures,guilty-pleasures|Guilty Pleasures,show
Hear and Now,hear-and-now,hear-and-now|Hear and Now,show
In the Groove,in-the-groove,in-the-groove|In the Groove,show
Innominate,innominate,innominate|Innominate,show
It's About Justice,its-about-justice,its-about-justice|It's About Justice,show
Ivy's Red Sweater,ivys-red-sweater,ivys-red-sweater|Ivy's Red Sweater,show
Latin Perspective,latin-perspective,latin-perspective|Latin Perspective,show
Laying Down Tracks,laying-down-tracks,laying-down-tracks|Laying Down Tracks,show
Lend Me Your Ear,lend-me-your-ear,lend-me-your-ear|Lend Me Your Ear,show
Live From Cleveland,live-from-cleveland,live-from-cleveland|Live From Cleveland,show
Metal Meltdown,metal-meltdown,metal-meltdown|Metal Meltdown,show
Metal Meltdown Overnight,metal-meltdown-overnight,metal-meltdown-overnight|Metal Meltdown Overnight,show
Mic Drop,mic-drop,mic-drop|Mic Drop,show
"Miscellaneous, PA.",miscellaneous-pa,"miscellaneous-pa|Miscellaneous, PA.",show
Music I'd Play for My Dying Ferret,music-id-play-for-my-dying-ferret,music-id-play-for-my-dying-ferret|Music I'd Play for My Dying Ferret,show
Neosuburbia,neosuburbia,neosuburbia|Neosuburbia,show
Night of the Living Dread,night-of-the-living-dread,night-of-the-living-dread|Night of the Living Dread,show
Night Radio,night-radio,night-radio|Night Radio,show
Noise Pollution,noise-pollution,noise-pollution|Noise Pollution,show
Not Your Grandmother's Classical Music,not-your-grandmothers-classical-music,not-your-grandmothers-classical-music|Not Your Grandmother's Classical Music,show
Off the Wall,off-the-wall,off-the-wall|Off the Wall,show
Paradise Garage,paradise-garage,paradise-garage|Paradise Garage,show
Passport,passport,passport|Passport,show
Percussive Maintenance,percussive-maintenance,percussive-maintenance|Percussive Maintenance,show
Polka Changed My Life Today,polka-changed-my-life-today,polka-changed-my-life-today|Polka Changed My Life Today,show
Polyrhythmic,polyrhythmic,polyrhythmic|Polyrhythmic,show
Popular Favorites,popular-favorites,popular-favorites|Popular Favorites,show
Prosper Hazzard,prosper-hazzard,prosper-hazzard|Prosper Hazzard,show
Queen of Themes,queen-of-themes,queen-of-themes|Queen of Themes,show
Quest for Fire,quest-for-fire,quest-for-fire|Quest for Fire,show
Radio Children,radio-children,radio-children|Radio Children,show
Radio Italia of Cleveland,radio-italia-of-cleveland,radio-italia-of-cleveland|Radio Italia of Cleveland,show
Reality Check,reality-check,reality-check|Reality Check,show
Riververse,riververse,riververse|Riververse,show
Rock FM,rock-fm,rock-fm|Rock FM,show
Round Trip Ticket,round-trip-ticket,round-trip-ticket|Round Trip Ticket,show
Route 66,route-66,route-66|Route 66,show
Shocking Females In Trousers,shocking-females-in-trousers,shocking-females-in-trousers|Shocking Females In Trousers,show
Skinny Genes,skinny-genes,skinny-genes|Skinny Genes,show
Solitude,solitude,solitude|Solitude,show
Soul Delirium,soul-delirium,soul-delirium|Soul Delirium,show
